ward,district,city
Xã Xuân Tường,Huyện Thanh Chương,Tỉnh Nghệ An
Xã Đồng Văn,Huyện Thanh Chương,Tỉnh Nghệ An
Xã Cát Văn,Huyện Thanh Chương,Tỉnh Nghệ An
Xã Thanh Phong,Huyện Thanh Chương,Tỉnh Nghệ An
Xã Đại Đồng,Huyện Thanh Chương,Tỉnh Nghệ An
Thị trấn Thanh Chương,Huyện Thanh Chương,Tỉnh Nghệ An
Xã Tân Xuân,Huyện Tân Kỳ,Tỉnh Nghệ An
Xã Nghĩa Hợp,Huyện Tân Kỳ,Tỉnh Nghệ An
Xã Tân An,Huyện Tân Kỳ,Tỉnh Nghệ An
Xã Tân Phú,Huyện Tân Kỳ,Tỉnh Nghệ An
Xã Nghĩa Dũng,Huyện Tân Kỳ,Tỉnh Nghệ An
Xã Kỳ Tân,Huyện Tân Kỳ,Tỉnh Nghệ An
Xã Tân Hương,Huyện Tân Kỳ,Tỉnh Nghệ An
Xã Tiên Kỳ,Huyện Tân Kỳ,Tỉnh Nghệ An
Xã Tam Thái,Huyện Tương Dương,Tỉnh Nghệ An
Xã Mai Sơn,Huyện Tương Dương,Tỉnh Nghệ An
Xã Yên Na,Huyện Tương Dương,Tỉnh Nghệ An
Xã Yên Thắng,Huyện Tương Dương,Tỉnh Nghệ An
Xã Yên Tĩnh,Huyện Tương Dương,Tỉnh Nghệ An
Xã Xá Lượng,Huyện Tương Dương,Tỉnh Nghệ An
Xã Tam Quang,Huyện Tương Dương,Tỉnh Nghệ An
Xã Lưu Kiền,Huyện Tương Dương,Tỉnh Nghệ An
Xã Yên Hòa,Huyện Tương Dương,Tỉnh Nghệ An
Xã Nhôn Mai,Huyện Tương Dương,Tỉnh Nghệ An
Xã Sơn Thành,Huyện Yên Thành,Tỉnh Nghệ An
Xã Nam Thành,Huyện Yên Thành,Tỉnh Nghệ An
Xã Bắc Thành,Huyện Yên Thành,Tỉnh Nghệ An
Xã Thọ Thành,Huyện Yên Thành,Tỉnh Nghệ An
Xã Hùng Thành,Huyện Yên Thành,Tỉnh Nghệ An
Xã Liên Thành,Huyện Yên Thành,Tỉnh Nghệ An
Xã Nhân Thành,Huyện Yên Thành,Tỉnh Nghệ An
Xã Thuận Sơn,Huyện Đô Lương,Tỉnh Nghệ An
Xã Thái Sơn,Huyện Đô Lương,Tỉnh Nghệ An
Xã Thượng Sơn,Huyện Đô Lương,Tỉnh Nghệ An
Xã Hiến Sơn,Huyện Đô Lương,Tỉnh Nghệ An
Xã Giang Sơn Tây,Huyện Đô Lương,Tỉnh Nghệ An
Xã Bắc Sơn,Huyện Đô Lương,Tỉnh Nghệ An
Phường Hà Huy Tập,Thành phố Vinh,Tỉnh Nghệ An
Xã Hưng Lộc,Thành phố Vinh,Tỉnh Nghệ An
Phường Hưng Dũng,Thành phố Vinh,Tỉnh Nghệ An
Phường Trường Thi,Thành phố Vinh,Tỉnh Nghệ An
Xã Hưng Đông,Thành phố Vinh,Tỉnh Nghệ An
Phường Cửa Nam,Thành phố Vinh,Tỉnh Nghệ An
Phường Quang Trung,Thành phố Vinh,Tỉnh Nghệ An
Phường Hồng Sơn,Thành phố Vinh,Tỉnh Nghệ An
Xã Hưng Chính,Thành phố Vinh,Tỉnh Nghệ An
Phường Đội Cung,Thành phố Vinh,Tỉnh Nghệ An
Phường Nghi Hải,Thị xã Cửa Lò,Tỉnh Nghệ An
Phường Nghi Thu,Thị xã Cửa Lò,Tỉnh Nghệ An
Phường Nghi Hòa,Thị xã Cửa Lò,Tỉnh Nghệ An
Phường Nghi Hương,Thị xã Cửa Lò,Tỉnh Nghệ An
Phường Nghi Thuỷ,Thị xã Cửa Lò,Tỉnh Nghệ An
Phường Nghi Tân,Thị xã Cửa Lò,Tỉnh Nghệ An
Phường Thu Thuỷ,Thị xã Cửa Lò,Tỉnh Nghệ An
Phường Mai Hùng,Thị xã Hoàng Mai,Tỉnh Nghệ An
Xã Quỳnh Vinh,Thị xã Hoàng Mai,Tỉnh Nghệ An
Xã Quỳnh Lập,Thị xã Hoàng Mai,Tỉnh Nghệ An
Phường Quỳnh Xuân,Thị xã Hoàng Mai,Tỉnh Nghệ An
Xã Quỳnh Liên,Thị xã Hoàng Mai,Tỉnh Nghệ An
Xã Quỳnh Lộc,Thị xã Hoàng Mai,Tỉnh Nghệ An
Phường Quỳnh Phương,Thị xã Hoàng Mai,Tỉnh Nghệ An
Xã Đông Hiếu,Thị xã Thái Hoà,Tỉnh Nghệ An
Phường Quang Tiến,Thị xã Thái Hoà,Tỉnh Nghệ An
Xã Nghĩa Tiến,Thị xã Thái Hoà,Tỉnh Nghệ An
Xã Tây Hiếu,Thị xã Thái Hoà,Tỉnh Nghệ An
Xã Nghĩa Thuận,Thị xã Thái Hoà,Tỉnh Nghệ An
Phường Long Sơn,Thị xã Thái Hoà,Tỉnh Nghệ An
Xã Gia Thịnh,Huyện Gia Viễn,Tỉnh Ninh Bình
Xã Gia Xuân,Huyện Gia Viễn,Tỉnh Ninh Bình
Xã Gia Lập,Huyện Gia Viễn,Tỉnh Ninh Bình
Xã Liên Sơn,Huyện Gia Viễn,Tỉnh Ninh Bình
Xã Gia Phú,Huyện Gia Viễn,Tỉnh Ninh Bình
Xã Gia Trấn,Huyện Gia Viễn,Tỉnh Ninh Bình
Xã Gia Phương,Huyện Gia Viễn,Tỉnh Ninh Bình
Xã Gia Vượng,Huyện Gia Viễn,Tỉnh Ninh Bình
Xã Gia Vân,Huyện Gia Viễn,Tỉnh Ninh Bình
Xã Trường Yên,Huyện Hoa Lư,Tỉnh Ninh Bình
Thị trấn Thiên Tôn,Huyện Hoa Lư,Tỉnh Ninh Bình
Xã Ninh Xuân,Huyện Hoa Lư,Tỉnh Ninh Bình
Xã Ninh Khang,Huyện Hoa Lư,Tỉnh Ninh Bình
Xã Ninh Thắng,Huyện Hoa Lư,Tỉnh Ninh Bình
Xã Ninh Hải,Huyện Hoa Lư,Tỉnh Ninh Bình
Xã Ninh Hòa,Huyện Hoa Lư,Tỉnh Ninh Bình
Xã Ninh Vân,Huyện Hoa Lư,Tỉnh Ninh Bình
Xã Ninh An,Huyện Hoa Lư,Tỉnh Ninh Bình
Xã Kim Định,Huyện Kim Sơn,Tỉnh Ninh Bình
Xã Xuân Chính,Huyện Kim Sơn,Tỉnh Ninh Bình
Xã Hồi Ninh,Huyện Kim Sơn,Tỉnh Ninh Bình
Xã Kim Mỹ,Huyện Kim Sơn,Tỉnh Ninh Bình
Xã Văn Hải,Huyện Kim Sơn,Tỉnh Ninh Bình
Xã Cồn Thoi,Huyện Kim Sơn,Tỉnh Ninh Bình
Xã Thượng Kiệm,Huyện Kim Sơn,Tỉnh Ninh Bình
Xã Hùng Tiến,Huyện Kim Sơn,Tỉnh Ninh Bình
Xã Kim Chính,Huyện Kim Sơn,Tỉnh Ninh Bình
Xã Phú Lộc,Huyện Nho Quan,Tỉnh Ninh Bình
Xã Gia Sơn,Huyện Nho Quan,Tỉnh Ninh Bình
Xã Sơn Hà,Huyện Nho Quan,Tỉnh Ninh Bình
Xã Gia Thủy,Huyện Nho Quan,Tỉnh Ninh Bình
Xã Thanh Lạc,Huyện Nho Quan,Tỉnh Ninh Bình
Xã Cúc Phương,Huyện Nho Quan,Tỉnh Ninh Bình
Xã Sơn Lai,Huyện Nho Quan,Tỉnh Ninh Bình
Xã Thượng Hòa,Huyện Nho Quan,Tỉnh Ninh Bình
Xã Kỳ Phú,Huyện Nho Quan,Tỉnh Ninh Bình
Xã Quỳnh Lưu,Huyện Nho Quan,Tỉnh Ninh Bình
Xã Khánh Hải,Huyện Yên Khánh,Tỉnh Ninh Bình
Xã Khánh Cường,Huyện Yên Khánh,Tỉnh Ninh Bình
Xã Khánh Hòa,Huyện Yên Khánh,Tỉnh Ninh Bình
Thị trấn Yên Ninh,Huyện Yên Khánh,Tỉnh Ninh Bình
Xã Khánh Cư,Huyện Yên Khánh,Tỉnh Ninh Bình
Xã Khánh Thiện,Huyện Yên Khánh,Tỉnh Ninh Bình
Xã Khánh Hồng,Huyện Yên Khánh,Tỉnh Ninh Bình
Xã Khánh Trung,Huyện Yên Khánh,Tỉnh Ninh Bình
Xã Yên Thái,Huyện Yên Mô,Tỉnh Ninh Bình
Xã Yên Thành,Huyện Yên Mô,Tỉnh Ninh Bình
Xã Yên Đồng,Huyện Yên Mô,Tỉnh Ninh Bình
Thị trấn Yên Thịnh,Huyện Yên Mô,Tỉnh Ninh Bình
Xã Yên Mỹ,Huyện Yên Mô,Tỉnh Ninh Bình
Xã Yên Mạc,Huyện Yên Mô,Tỉnh Ninh Bình
Xã Yên Thắng,Huyện Yên Mô,Tỉnh Ninh Bình
Xã Khánh Dương,Huyện Yên Mô,Tỉnh Ninh Bình
Xã Yên Từ,Huyện Yên Mô,Tỉnh Ninh Bình
Xã Mai Sơn,Huyện Yên Mô,Tỉnh Ninh Bình
Phường Vân Giang,Thành phố Ninh Bình,Tỉnh Ninh Bình
Phường Phúc Thành,Thành phố Ninh Bình,Tỉnh Ninh Bình
Phường Ninh Sơn,Thành phố Ninh Bình,Tỉnh Ninh Bình
Xã Ninh Phúc,Thành phố Ninh Bình,Tỉnh Ninh Bình
Xã Ninh Tiến,Thành phố Ninh Bình,Tỉnh Ninh Bình
Phường Ninh Khánh,Thành phố Ninh Bình,Tỉnh Ninh Bình
Phường Tây Sơn,Thành phố Tam Điệp,Tỉnh Ninh Bình
Phường Tân Bình,Thành phố Tam Điệp,Tỉnh Ninh Bình
Xã Quang Sơn,Thành phố Tam Điệp,Tỉnh Ninh Bình
Phường Nam Sơn,Thành phố Tam Điệp,Tỉnh Ninh Bình
Phường Trung Sơn,Thành phố Tam Điệp,Tỉnh Ninh Bình
Xã Đông Sơn,Thành phố Tam Điệp,Tỉnh Ninh Bình
Phường Yên Bình,Thành phố Tam Điệp,Tỉnh Ninh Bình
Xã Phước Tân,Huyện Bác Ái,Tỉnh Ninh Thuận
Xã Phước Bình,Huyện Bác Ái,Tỉnh Ninh Thuận
Xã Phước Hòa,Huyện Bác Ái,Tỉnh Ninh Thuận
Xã Phước Đại,Huyện Bác Ái,Tỉnh Ninh Thuận
Xã Phước Thắng,Huyện Bác Ái,Tỉnh Ninh Thuận
Xã Phước Tiến,Huyện Bác Ái,Tỉnh Ninh Thuận
Xã Phước Trung,Huyện Bác Ái,Tỉnh Ninh Thuận
Xã Phước Thành,Huyện Bác Ái,Tỉnh Ninh Thuận
Xã Phước Chính,Huyện Bác Ái,Tỉnh Ninh Thuận
Xã Phương Hải,Huyện Ninh Hải,Tỉnh Ninh Thuận
Xã Tri Hải,Huyện Ninh Hải,Tỉnh Ninh Thuận
Xã Xuân Hải,Huyện Ninh Hải,Tỉnh Ninh Thuận
Xã Tân Hải,Huyện Ninh Hải,Tỉnh Ninh Thuận
Xã Hộ Hải,Huyện Ninh Hải,Tỉnh Ninh Thuận
Xã Vĩnh Hải,Huyện Ninh Hải,Tỉnh Ninh Thuận
Xã Phước Thuận,Huyện Ninh Phước,Tỉnh Ninh Thuận
Xã Phước Hải,Huyện Ninh Phước,Tỉnh Ninh Thuận
Xã Phước Thái,Huyện Ninh Phước,Tỉnh Ninh Thuận
Xã Phước Vinh,Huyện Ninh Phước,Tỉnh Ninh Thuận
Xã An Hải,Huyện Ninh Phước,Tỉnh Ninh Thuận
Xã Quảng Sơn,Huyện Ninh Sơn,Tỉnh Ninh Thuận
Xã Hòa Sơn,Huyện Ninh Sơn,Tỉnh Ninh Thuận
Xã Nhơn Sơn,Huyện Ninh Sơn,Tỉnh Ninh Thuận
Xã Mỹ Sơn,Huyện Ninh Sơn,Tỉnh Ninh Thuận
Thị trấn Tân Sơn,Huyện Ninh Sơn,Tỉnh Ninh Thuận
Xã Lâm Sơn,Huyện Ninh Sơn,Tỉnh Ninh Thuận
Xã Lương Sơn,Huyện Ninh Sơn,Tỉnh Ninh Thuận
Xã Bắc Sơn,Huyện Thuận Bắc,Tỉnh Ninh Thuận
Xã Phước Kháng,Huyện Thuận Bắc,Tỉnh Ninh Thuận
Xã Bắc Phong,Huyện Thuận Bắc,Tỉnh Ninh Thuận
Xã Lợi Hải,Huyện Thuận Bắc,Tỉnh Ninh Thuận
Xã Công Hải,Huyện Thuận Bắc,Tỉnh Ninh Thuận
Xã Cà Ná,Huyện Thuận Nam,Tỉnh Ninh Thuận
Xã Phước Nam,Huyện Thuận Nam,Tỉnh Ninh Thuận
Xã Phước Hà,Huyện Thuận Nam,Tỉnh Ninh Thuận
Xã Phước Dinh,Huyện Thuận Nam,Tỉnh Ninh Thuận
Xã Phước Ninh,Huyện Thuận Nam,Tỉnh Ninh Thuận
Phường Bảo An,Thành phố Phan Rang-Tháp Chàm,Tỉnh Ninh Thuận
Phường Phủ Hà,Thành phố Phan Rang-Tháp Chàm,Tỉnh Ninh Thuận
Phường Đô Vinh,Thành phố Phan Rang-Tháp Chàm,Tỉnh Ninh Thuận
Phường Mỹ Đông,Thành phố Phan Rang-Tháp Chàm,Tỉnh Ninh Thuận
Xã Thành Hải,Thành phố Phan Rang-Tháp Chàm,Tỉnh Ninh Thuận
Phường Đông Hải,Thành phố Phan Rang-Tháp Chàm,Tỉnh Ninh Thuận
Phường Đài Sơn,Thành phố Phan Rang-Tháp Chàm,Tỉnh Ninh Thuận
Phường Kinh Dinh,Thành phố Phan Rang-Tháp Chàm,Tỉnh Ninh Thuận
Phường Đạo Long,Thành phố Phan Rang-Tháp Chàm,Tỉnh Ninh Thuận
Xã Đồng Lương,Huyện Cẩm Khê,Tỉnh Phú Thọ
Xã Văn Khúc,Huyện Cẩm Khê,Tỉnh Phú Thọ
Xã Cấp Dẫn,Huyện Cẩm Khê,Tỉnh Phú Thọ
Xã Tuy Lộc,Huyện Cẩm Khê,Tỉnh Phú Thọ
Xã Phú Khê,Huyện Cẩm Khê,Tỉnh Phú Thọ
Xã Ngô Xá,Huyện Cẩm Khê,Tỉnh Phú Thọ
Xã Minh Tân,Huyện Cẩm Khê,Tỉnh Phú Thọ
Xã Văn Bán,Huyện Cẩm Khê,Tỉnh Phú Thọ
Xã Đan Thượng,Huyện Hạ Hoà,Tỉnh Phú Thọ
Xã Hà Lương,Huyện Hạ Hoà,Tỉnh Phú Thọ
Thị trấn Hạ Hoà,Huyện Hạ Hoà,Tỉnh Phú Thọ
Xã Phương Viên,Huyện Hạ Hoà,Tỉnh Phú Thọ
Xã Lang Sơn,Huyện Hạ Hoà,Tỉnh Phú Thọ
Xã Bằng Giã,Huyện Hạ Hoà,Tỉnh Phú Thọ
Xã Tứ Xã,Huyện Lâm Thao,Tỉnh Phú Thọ
Xã Vĩnh Lại,Huyện Lâm Thao,Tỉnh Phú Thọ
Xã Phùng Nguyên,Huyện Lâm Thao,Tỉnh Phú Thọ
Xã Thạch Sơn,Huyện Lâm Thao,Tỉnh Phú Thọ
Xã Xuân Huy,Huyện Lâm Thao,Tỉnh Phú Thọ
Xã Xuân Lũng,Huyện Lâm Thao,Tỉnh Phú Thọ
Xã Sơn Vi,Huyện Lâm Thao,Tỉnh Phú Thọ
Thị trấn Lâm Thao,Huyện Lâm Thao,Tỉnh Phú Thọ
Xã Cao Xá,Huyện Lâm Thao,Tỉnh Phú Thọ
Thị trấn Hùng Sơn,Huyện Lâm Thao,Tỉnh Phú Thọ
Xã Bảo Thanh,Huyện Phù Ninh,Tỉnh Phú Thọ
Xã Gia Thanh,Huyện Phù Ninh,Tỉnh Phú Thọ
Xã Hạ Giáp,Huyện Phù Ninh,Tỉnh Phú Thọ
Xã Tiên Phú,Huyện Phù Ninh,Tỉnh Phú Thọ
Xã An Đạo,Huyện Phù Ninh,Tỉnh Phú Thọ
Xã Hiền Quan,Huyện Tam Nông,Tỉnh Phú Thọ
Xã Bắc Sơn,Huyện Tam Nông,Tỉnh Phú Thọ
Xã Thọ Văn,Huyện Tam Nông,Tỉnh Phú Thọ
Xã Tề Lễ,Huyện Tam Nông,Tỉnh Phú Thọ
Xã Lam Sơn,Huyện Tam Nông,Tỉnh Phú Thọ
Xã Hương Nộn,Huyện Tam Nông,Tỉnh Phú Thọ
Xã Vạn Xuân,Huyện Tam Nông,Tỉnh Phú Thọ
Xã Hanh Cù,Huyện Thanh Ba,Tỉnh Phú Thọ
Xã Thanh Hà,Huyện Thanh Ba,Tỉnh Phú Thọ
Xã Đông Thành,Huyện Thanh Ba,Tỉnh Phú Thọ
Xã Đỗ Sơn,Huyện Thanh Ba,Tỉnh Phú Thọ
Xã Mạn Lạn,Huyện Thanh Ba,Tỉnh Phú Thọ
Xã Quảng Yên,Huyện Thanh Ba,Tỉnh Phú Thọ
Thị trấn Thanh Ba,Huyện Thanh Ba,Tỉnh Phú Thọ
Xã Đông Lĩnh,Huyện Thanh Ba,Tỉnh Phú Thọ
Xã Đỗ Xuyên,Huyện Thanh Ba,Tỉnh Phú Thọ
Xã Giáp Lai,Huyện Thanh Sơn,Tỉnh Phú Thọ
Xã Yên Sơn,Huyện Thanh Sơn,Tỉnh Phú Thọ
Xã Thục Luyện,Huyện Thanh Sơn,Tỉnh Phú Thọ
Xã Hương Cần,Huyện Thanh Sơn,Tỉnh Phú Thọ
Xã Tân Lập,Huyện Thanh Sơn,Tỉnh Phú Thọ
Xã Lương Nha,Huyện Thanh Sơn,Tỉnh Phú Thọ
Xã Võ Miếu,Huyện Thanh Sơn,Tỉnh Phú Thọ
Xã Cự Đồng,Huyện Thanh Sơn,Tỉnh Phú Thọ
Xã Tân Phương,Huyện Thanh Thuỷ,Tỉnh Phú Thọ
Xã Bảo Yên,Huyện Thanh Thuỷ,Tỉnh Phú Thọ
Xã Xuân Lộc,Huyện Thanh Thuỷ,Tỉnh Phú Thọ
Xã Đồng Trung,Huyện Thanh Thuỷ,Tỉnh Phú Thọ
Xã Đoan Hạ,Huyện Thanh Thuỷ,Tỉnh Phú Thọ
Xã Tu Vũ,Huyện Thanh Thuỷ,Tỉnh Phú Thọ
Xã Thạch Đồng,Huyện Thanh Thuỷ,Tỉnh Phú Thọ
Thị trấn Thanh Thủy,Huyện Thanh Thuỷ,Tỉnh Phú Thọ
Xã Sơn Thủy,Huyện Thanh Thuỷ,Tỉnh Phú Thọ
Xã Đào Xá,Huyện Thanh Thuỷ,Tỉnh Phú Thọ
Xã Thu Ngạc,Huyện Tân Sơn,Tỉnh Phú Thọ
Xã Đồng Sơn,Huyện Tân Sơn,Tỉnh Phú Thọ
Xã Kim Thượng,Huyện Tân Sơn,Tỉnh Phú Thọ
Xã Vinh Tiền,Huyện Tân Sơn,Tỉnh Phú Thọ
Xã Văn Luông,Huyện Tân Sơn,Tỉnh Phú Thọ
Xã Xuân Sơn,Huyện Tân Sơn,Tỉnh Phú Thọ
Xã Thu Cúc,Huyện Tân Sơn,Tỉnh Phú Thọ
Xã Tân Phú,Huyện Tân Sơn,Tỉnh Phú Thọ
Xã Trung Sơn,Huyện Yên Lập,Tỉnh Phú Thọ
Xã Đồng Lạc,Huyện Yên Lập,Tỉnh Phú Thọ
Xã Minh Hòa,Huyện Yên Lập,Tỉnh Phú Thọ
Xã Nga Hoàng,Huyện Yên Lập,Tỉnh Phú Thọ
Xã Thượng Long,Huyện Yên Lập,Tỉnh Phú Thọ
Thị trấn Yên Lập,Huyện Yên Lập,Tỉnh Phú Thọ
Xã Tây Cốc,Huyện Đoan Hùng,Tỉnh Phú Thọ
Xã Hùng Long,Huyện Đoan Hùng,Tỉnh Phú Thọ
Xã Bằng Doãn,Huyện Đoan Hùng,Tỉnh Phú Thọ
Xã Phú Lâm,Huyện Đoan Hùng,Tỉnh Phú Thọ
Xã Hùng Xuyên,Huyện Đoan Hùng,Tỉnh Phú Thọ
Xã Hợp Nhất,Huyện Đoan Hùng,Tỉnh Phú Thọ
Xã Minh Phú,Huyện Đoan Hùng,Tỉnh Phú Thọ
Xã Tiêu Sơn,Huyện Đoan Hùng,Tỉnh Phú Thọ
Xã Vân Du,Huyện Đoan Hùng,Tỉnh Phú Thọ
Xã Chân Mộng,Huyện Đoan Hùng,Tỉnh Phú Thọ
Xã Thụy Vân,Thành phố Việt Trì,Tỉnh Phú Thọ
Phường Bến Gót,Thành phố Việt Trì,Tỉnh Phú Thọ
Xã Sông Lô,Thành phố Việt Trì,Tỉnh Phú Thọ
Phường Gia Cẩm,Thành phố Việt Trì,Tỉnh Phú Thọ
Phường Vân Cơ,Thành phố Việt Trì,Tỉnh Phú Thọ
Phường Minh Nông,Thành phố Việt Trì,Tỉnh Phú Thọ
Xã Hy Cương,Thành phố Việt Trì,Tỉnh Phú Thọ
Xã Trưng Vương,Thành phố Việt Trì,Tỉnh Phú Thọ
Phường Tiên Cát,Thành phố Việt Trì,Tỉnh Phú Thọ
Phường Phong Châu,Thị xã Phú Thọ,Tỉnh Phú Thọ
Xã Hà Thạch,Thị xã Phú Thọ,Tỉnh Phú Thọ
Xã Phú Hộ,Thị xã Phú Thọ,Tỉnh Phú Thọ
Phường Thanh Vinh,Thị xã Phú Thọ,Tỉnh Phú Thọ
Xã Hà Lộc,Thị xã Phú Thọ,Tỉnh Phú Thọ
Xã Thanh Minh,Thị xã Phú Thọ,Tỉnh Phú Thọ
Xã Văn Lung,Thị xã Phú Thọ,Tỉnh Phú Thọ
Phường Hùng Vương,Thị xã Phú Thọ,Tỉnh Phú Thọ
Phường Âu Cơ,Thị xã Phú Thọ,Tỉnh Phú Thọ
Thị Trấn Phú Hoà,Huyện Phú Hoà,Tỉnh Phú Yên
Xã Hòa Quang Bắc,Huyện Phú Hoà,Tỉnh Phú Yên
Xã Hòa Thắng,Huyện Phú Hoà,Tỉnh Phú Yên
Xã Hòa Định Tây,Huyện Phú Hoà,Tỉnh Phú Yên
Xã Hòa Định Đông,Huyện Phú Hoà,Tỉnh Phú Yên
Xã EaBia,Huyện Sông Hinh,Tỉnh Phú Yên
Xã EaBar,Huyện Sông Hinh,Tỉnh Phú Yên
Xã Sơn Giang,Huyện Sông Hinh,Tỉnh Phú Yên
Xã EaTrol,Huyện Sông Hinh,Tỉnh Phú Yên
Xã Đức Bình Tây,Huyện Sông Hinh,Tỉnh Phú Yên
Xã Sơn Định,Huyện Sơn Hòa,Tỉnh Phú Yên
Xã Suối Trai,Huyện Sơn Hòa,Tỉnh Phú Yên
Xã Sơn Phước,Huyện Sơn Hòa,Tỉnh Phú Yên
Xã Phước Tân,Huyện Sơn Hòa,Tỉnh Phú Yên
Xã Sơn Xuân,Huyện Sơn Hòa,Tỉnh Phú Yên
Xã Eachà Rang,Huyện Sơn Hòa,Tỉnh Phú Yên
Xã Krông Pa,Huyện Sơn Hòa,Tỉnh Phú Yên
Xã Cà Lúi,Huyện Sơn Hòa,Tỉnh Phú Yên
Thị trấn Củng Sơn,Huyện Sơn Hòa,Tỉnh Phú Yên
Xã Sơn Long,Huyện Sơn Hòa,Tỉnh Phú Yên
Xã An Thạch,Huyện Tuy An,Tỉnh Phú Yên
Xã An Dân,Huyện Tuy An,Tỉnh Phú Yên
Xã An Xuân,Huyện Tuy An,Tỉnh Phú Yên
Xã An Ninh Tây,Huyện Tuy An,Tỉnh Phú Yên
Xã An Thọ,Huyện Tuy An,Tỉnh Phú Yên
Xã An Cư,Huyện Tuy An,Tỉnh Phú Yên
Xã An Chấn,Huyện Tuy An,Tỉnh Phú Yên
Xã Hòa Bình 1,Huyện Tây Hoà,Tỉnh Phú Yên
Xã Sơn Thành Đông,Huyện Tây Hoà,Tỉnh Phú Yên
Xã Hòa Tân Tây,Huyện Tây Hoà,Tỉnh Phú Yên
Xã Hòa Đồng,Huyện Tây Hoà,Tỉnh Phú Yên
Thị trấn Phú Thứ,Huyện Tây Hoà,Tỉnh Phú Yên
Xã Xuân Quang 1,Huyện Đồng Xuân,Tỉnh Phú Yên
Xã Xuân Lãnh,Huyện Đồng Xuân,Tỉnh Phú Yên
Xã Xuân Sơn Bắc,Huyện Đồng Xuân,Tỉnh Phú Yên
Xã Đa Lộc,Huyện Đồng Xuân,Tỉnh Phú Yên
Thị trấn La Hai,Huyện Đồng Xuân,Tỉnh Phú Yên
Xã Bình Ngọc,Thành phố Tuy Hoà,Tỉnh Phú Yên
Phường Phú Thạnh,Thành phố Tuy Hoà,Tỉnh Phú Yên
Phường 6,Thành phố Tuy Hoà,Tỉnh Phú Yên
Xã Hòa Kiến,Thành phố Tuy Hoà,Tỉnh Phú Yên
Xã Bình Kiến,Thành phố Tuy Hoà,Tỉnh Phú Yên
Phường 8,Thành phố Tuy Hoà,Tỉnh Phú Yên
Phường 7,Thành phố Tuy Hoà,Tỉnh Phú Yên
Xã Xuân Hải,Thị xã Sông Cầu,Tỉnh Phú Yên
Phường Xuân Yên,Thị xã Sông Cầu,Tỉnh Phú Yên
Xã Xuân Cảnh,Thị xã Sông Cầu,Tỉnh Phú Yên
Xã Xuân Lộc,Thị xã Sông Cầu,Tỉnh Phú Yên
Xã Xuân Phương,Thị xã Sông Cầu,Tỉnh Phú Yên
Phường Xuân Đài,Thị xã Sông Cầu,Tỉnh Phú Yên
Phường Xuân Thành,Thị xã Sông Cầu,Tỉnh Phú Yên
Xã Xuân Thọ 1,Thị xã Sông Cầu,Tỉnh Phú Yên
Xã Xuân Lâm,Thị xã Sông Cầu,Tỉnh Phú Yên
Xã Xuân Thịnh,Thị xã Sông Cầu,Tỉnh Phú Yên
Xã Hòa Tân Đông,Thị xã Đông Hòa,Tỉnh Phú Yên
Xã Hòa Thành,Thị xã Đông Hòa,Tỉnh Phú Yên
Phường Hoà Hiệp Trung,Thị xã Đông Hòa,Tỉnh Phú Yên
Phường Hòa Xuân Tây,Thị xã Đông Hòa,Tỉnh Phú Yên
Phường Hòa Hiệp Nam,Thị xã Đông Hòa,Tỉnh Phú Yên
Phường Hòa Hiệp Bắc,Thị xã Đông Hòa,Tỉnh Phú Yên
Phường Hoà Vinh,Thị xã Đông Hòa,Tỉnh Phú Yên
Xã Hòa Xuân Nam,Thị xã Đông Hòa,Tỉnh Phú Yên
Xã Hòa Xuân Đông,Thị xã Đông Hòa,Tỉnh Phú Yên
Xã Thanh Trạch,Huyện Bố Trạch,Tỉnh Quảng Bình
Xã Liên Trạch,Huyện Bố Trạch,Tỉnh Quảng Bình
Xã Lâm Trạch,Huyện Bố Trạch,Tỉnh Quảng Bình
Xã Hưng Trạch,Huyện Bố Trạch,Tỉnh Quảng Bình
Xã Mỹ Trạch,Huyện Bố Trạch,Tỉnh Quảng Bình
Xã Cự Nẫm,Huyện Bố Trạch,Tỉnh Quảng Bình
Xã Thượng Trạch,Huyện Bố Trạch,Tỉnh Quảng Bình
Xã Vạn Trạch,Huyện Bố Trạch,Tỉnh Quảng Bình
Xã Tây Trạch,Huyện Bố Trạch,Tỉnh Quảng Bình
Xã Đại Trạch,Huyện Bố Trạch,Tỉnh Quảng Bình
Xã Liên Thủy,Huyện Lệ Thủy,Tỉnh Quảng Bình
Xã Lộc Thủy,Huyện Lệ Thủy,Tỉnh Quảng Bình
Xã Cam Thủy,Huyện Lệ Thủy,Tỉnh Quảng Bình
Xã Thái Thủy,Huyện Lệ Thủy,Tỉnh Quảng Bình
Xã Xuân Thủy,Huyện Lệ Thủy,Tỉnh Quảng Bình
Xã Ngư Thủy Bắc,Huyện Lệ Thủy,Tỉnh Quảng Bình
Xã Ngân Thủy,Huyện Lệ Thủy,Tỉnh Quảng Bình
Xã Hưng Thủy,Huyện Lệ Thủy,Tỉnh Quảng Bình
Xã Kim Thủy,Huyện Lệ Thủy,Tỉnh Quảng Bình
Xã Xuân Hóa,Huyện Minh Hóa,Tỉnh Quảng Bình
Xã Hóa Tiến,Huyện Minh Hóa,Tỉnh Quảng Bình
Xã Thượng Hóa,Huyện Minh Hóa,Tỉnh Quảng Bình
